,Indeed,Monster
Data Scientist,3446.0,2607.0
Python,2641.0,1937.0
SQL,1805.0,1359.0
R,1902.0,1522.0
Spark,903.0,755.0
Hadoop,803.0,686.0
Java,1977.0,635.0
Tableau,778.0,636.0
AWS,718.0,451.0
SAS,522.0,528.0
Hive,413.0,372.0
Scala,534.0,371.0
Excel,343.0,242.0
TensorFlow,538.0,378.0
C++,333.0,370.0
Azure,304.0,340.0
NoSQL,284.0,197.0
Linux,291.0,238.0
C,335.0,370.0
Matlab,374.0,264.0
Scikit-learn,341.0,232.0
Pandas,216.0,145.0
Git,181.0,99.0
Keras,224.0,176.0
Javascript,179.0,172.0
Pig,141.0,149.0
Hbase,102.0,59.0
Google Cloud,94.0,78.0
Docker,204.0,158.0
NumPy,167.0,119.0
PyTorch,293.0,138.0
C#,335.0,370.0
SPSS,121.0,185.0
MySQL,146.0,96.0
Perl,105.0,122.0
Cassandra,91.0,64.0
MongoDB,123.0,46.0
GCP,94.0,69.0
Kubernetes,74.0,99.0
D3,68.0,69.0
Databricks,83.0,67.0
postgresql,68.0,123.0
Caffe,60.0,34.0
Airflow,42.0,51.0
Alteryx,24.0,16.0
BigQuery,47.0,21.0
Fastai,1.0,
